label,value,standard_error,expression,maximum,minimum,non_negative,vary
scalem.WT540freerod,0.853174623,0.00686718,None,,0,False,True
scalem.WT580freePBS,0.086062311,0.003049035,None,,0,False,True
scalem.WT580freerod,4.01E-11,0.005191015,None,,0,False,True
irfWT400.center,855.8243697,0.019267803,None,,0,False,True
irfWT400.width1,3.545426304,5.236425206,None,,0,False,True
irfWT400.width2,108.0044798,0.019831415,None,,0,False,True
irfWT400.scale1,1,None,None,,,False,False
irfWT400.scale2,0.051388891,0.618121797,None,,0,False,True
irfWT532.center,855.6687719,0.044025547,None,,0,False,True
irfWT532.width1,8.604150091,0.059215056,None,,0,False,True
irfWT532.width2,68.90527249,111.7167799,None,110,0,False,True
irfWT532.scale1,1,None,None,,,False,False
irfWT532.scale2,0.014608447,0.00768533,None,,0,False,True
irfWT540.center,851.7881073,0.029033419,None,,0,False,True
irfWT540.width1,3.91162393,0.042118239,None,,0,False,True
irfWT540.width2,56.60788183,5.337271406,None,,0,False,True
irfWT540.scale1,1,None,None,,,False,False
irfWT540.scale2,0.051908466,0.003740414,None,,0,False,True
irfWT580.center,858.3539379,0.030822213,None,,0,False,True
irfWT580.width1,3.452057245,1.302450326,None,,0,False,True
irfWT580.width2,9.66260209,0.127736714,None,,0,False,True
irfWT580.scale1,1,None,None,,,False,False
irfWT580.scale2,0.170566123,1.936873931,None,,0,False,True
irfdPSII532.center,856.6085158,0.033310148,None,,0,False,True
irfdPSII532.width1,3.807416129,0.050255818,None,,0,False,True
irfdPSII532.width2,53.39003903,3.82914581,None,,0,False,True
irfdPSII532.scale1,1,None,None,,,False,False
irfdPSII532.scale2,0.081046105,0.004626443,None,,0,False,True
irfdPSII540.center,851.9402341,0.022940829,None,,0,False,True
irfdPSII540.width1,3.969091892,0.027268326,None,,0,False,True
irfdPSII540.width2,90.2069704,6.671730788,None,,0,False,True
irfdPSII540.scale1,1,None,None,,,False,False
irfdPSII540.scale2,0.054282762,0.001803482,None,,0,False,True
input532.PSIbulk,0.883824963,2.41522192,None,,0,False,True
input532.PSIred,0.053029498,None,$input532.PSIbulk*0.06,,,False,False
input540.PSIbulk,0.764696832,2.006391391,None,,0,False,True
input540.PSIred,0.04588181,None,$input540.PSIbulk*0.06,,,False,False
inputWT532.PSIbulk,46.41261292,0.936712044,None,,0,False,True
inputWT532.PSIred,2.784756775,None,$inputWT532.PSIbulk*0.06,,,False,False
inputWT532.PSIIbulk,6.35852797,None,$inputWT532.PSIbulk*$ChlratioPSII.I,,0,False,False
inputWT540.PSIbulk,38.19717913,0.828322434,None,,0,False,True
