label,value,standard_error,expression,maximum,minimum,non_negative,vary
inputWT532.PSIIbulk,6.358254834,None,$inputWT532.PSIbulk*$ChlratioPSII.I,,0,False,False
inputWT540.PSIbulk,38.19625409,0.828322434,None,,0,False,True
inputWT540.PSIred,2.291775245,None,$inputWT540.PSIbulk*0.06,,,False,False
inputWT540.PSIIbulk,5.23288681,None,$inputWT540.PSIbulk*$ChlratioPSII.I,,0,False,False
scalem.dPSII400freePSI,162.9324255,100.0464565,None,,0,False,True
scalem.WT400freePSI,1.832279642,0.070155327,None,,0,False,True
scalem.WT400freePSII,2.6,0.229659501,None,,0,False,False
rates.ToPSIbulkFromPSIIbulkstateII,0.005808932,0.000299575,None,,0,False,True
rates.ToAPC660tFromPC650t,0.011776497,None,$rates.ToAPC660bFromPC650b,,0,False,False
rates.ToPC650tFromAPC660t,0.00620402,None,$rates.ToPC650bFromAPC660b*4,,0,False,False
scale.input400,1,None,None,2,0,False,False
input400.APC660t_APC660b,24,None,$input400n.APC660t_APC660b*$scale.input400,,,False,False
input400.APC660e,18,None,$input400n.APC660e*$scale.input400,,,False,False
input400.APC680,6,None,$input400n.APC680*$scale.input400,,,False,False
input400.PC650,36,None,$input400n.PC650*$scale.input400,,,False,False
input400.PC640,18,None,$input400n.PC640*$scale.input400,,,False,False
input400.PC650t,144,None,$input400.PC650*4,,,False,False
input580.PC650t,144,None,$input580.PC650*4,,,False,False
input400.PC640t,72,None,$input400.PC640*4,,,False,False
input580.PC640t,144,None,$input580.PC640*4,,,False,False
rates.ToPSIbulkFromPSIIbulk,0.005440813,None,$rates.ToPSIbulkFromPSIIbulkstateII*$factor.stateIrelstateII,,0,False,False
